hex_id,Province,District,DS,Name,Amenity,geometry,Category,user_id
886100491dfffff,Southern,Hambantota,Tangalle,Cargills Food City - Tangalle,Supermarket,POINT (80.7946316 6.0257603),Cargills Food City,
8861029193fffff,Southern,Hambantota,Ambalantota,Cargills Food City - Ambalantota,Supermarket,POINT (81.01867 6.1222268),Cargills Food City,
8861112747fffff,North Western,Kurunegala,Ibbagamuwa,Cargills Food City Express - Melsiripura,Supermarket,POINT (80.5051478 7.6378926),Cargills Food City,
88611c50e5fffff,North Western,Kurunegala,Wariyapola,Cargills Food City - Wariyapola,Grocery store,POINT (80.247931 7.6180423),Cargills Food City,
886100491dfffff,Southern,Hambantota,Tangalle,Cargills Food City Tangalle 02,Supermarket,POINT (80.7952083 6.0278627),Cargills Food City,
8861112485fffff,North Western,Kurunegala,Ganewatta,Cargills Food City Express - Hiripitiya,Grocery store,POINT (80.3708267 7.65491),Cargills Food City,
88610049b9fffff,Southern,Hambantota,Beliatta,Cargills Food City (Express) - Beliatta,Supermarket,POINT (80.7357453 6.0464064),Cargills Food City,
88611cc961fffff,North Western,Kurunegala,Ibbagamuwa,Cargills Food City Express - Ibbagamuwa,Supermarket,POINT (80.4497695 7.5476981),Cargills Food City,
88610284e3fffff,Southern,Hambantota,Weeraketiya,Cargills Food City (Express) - Weeraketiya,Grocery store,POINT (80.7624943 6.1484725),Cargills Food City,
88610280d1fffff,Southern,Hambantota,Angunakolapelessa,Cargills Food City (Express) - Angunukolapelessa,Supermarket,POINT (80.8973957 6.1663045),Cargills Food City,
88611cb025fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Duplication Road,Supermarket,POINT (79.8545389 6.9024028),Cargills Food City,
886102bb6bfffff,Southern,Hambantota,Katuwana,Cargills Food City (Express) - Middeniya,Supermarket,POINT (80.7643292 6.2491164),Cargills Food City,
88611121e7fffff,Central,Matale,Galewela,Cargills Food City - Galewela,Supermarket,POINT (80.5709892 7.7593454),Cargills Food City,
88611cc8edfffff,North Western,Kurunegala,Kurunegala,Cargills Food City - Kurunegala 02,Supermarket,POINT (80.3663655 7.4926483),Cargills Food City,
88611cc8e9fffff,North Western,Kurunegala,Kurunegala,Cargills Food City - Kurunegala 1,Supermarket,POINT (80.3606378 7.4884909),Cargills Food City,
